event_id,lookback_K,is_control,direction_streak_len,hh_ratio,ll_ratio,atr_pct,bb_width_pct,bb_width_pctile,volume_ratio,volume_zscore,volume_divergence,rsi_level,rsi_slope,macd_hist_slope,hour_of_day_utc,day_of_week,chart_pattern_labels,chart_pattern_confidence,chart_notes
CTRL-027532,120,True,1,0.47,0.45,0.2501,0.71,8.4,0.42,-0.5,-1,37.3,-16.8,-0.0089,0,4,,0,
CTRL-027840,120,True,3,0.46,0.47,0.3782,1.43,83.2,0.88,-0.07,1,30.6,-31.2,-0.5195,5,0,,0,
CTRL-028148,120,True,0,0.49,0.46,0.3015,0.79,29.5,0.36,-0.74,0,46.1,-16.3,-0.1765,10,3,,0,
CTRL-029072,120,True,2,0.51,0.47,0.1592,0.39,41.1,3.8,3.15,0,47.1,-8.2,-0.0515,1,6,,0,
CTRL-029380,120,True,0,0.47,0.42,0.3036,1.32,80.0,0.72,-0.36,-1,33.4,-8.0,-0.3269,6,2,,0,
CTRL-029996,120,True,3,0.43,0.5,0.6679,3.48,83.2,1.04,0.05,1,65.8,53.1,-0.1842,16,1,,0,
CTRL-030304,120,True,0,0.39,0.51,0.209,0.76,31.6,0.28,-0.72,0,21.2,-38.9,-0.0873,21,4,,0,
CTRL-030612,120,True,0,0.42,0.51,0.2942,1.03,37.9,0.83,-0.23,1,53.1,3.1,-0.0353,2,1,,0,
ETH-0002,240,False,0,0.44,0.51,0.5506,2.02,58.9,0.65,-0.24,1,50.8,-22.7,0.232,6,2,,0,
ETH-0003,240,False,5,0.38,0.49,0.7102,4.15,100.0,3.84,2.86,1,16.1,-39.4,-2.5914,17,3,,0,
ETH-0004,240,False,1,0.46,0.45,0.3153,1.24,31.6,0.82,-0.14,-1,64.7,33.7,0.1121,14,6,,0,
ETH-0005,240,False,0,0.47,0.47,0.4228,1.19,64.2,1.01,0.01,0,44.9,-13.1,0.9016,15,1,,0,
ETH-0006,240,False,0,0.45,0.43,0.4877,2.93,95.8,1.2,0.18,0,59.4,37.0,-0.7513,18,0,,0,
ETH-0007,240,False,3,0.45,0.46,0.7333,2.26,53.7,1.34,0.2,1,69.0,25.6,1.8678,9,5,,0,
ETH-0008,240,False,2,0.45,0.44,0.588,1.09,1.1,0.39,-0.43,0,65.6,43.8,1.4775,1,0,,0,
ETH-0009,240,False,1,0.46,0.45,0.5968,2.97,67.4,0.48,-0.66,-1,70.9,56.5,-1.5828,10,2,,0,
ETH-0010,240,False,0,0.41,0.51,0.9003,7.27,100.0,1.74,0.87,1,21.8,-46.6,0.9891,10,4,,0,
ETH-0011,240,False,1,0.45,0.52,0.2409,0.46,1.1,0.68,-0.31,0,45.6,-28.7,-0.2882,0,6,,0,
ETH-0012,240,False,1,0.49,0.46,0.6486,2.01,54.7,1.6,0.66,0,64.1,16.5,1.3789,14,1,,0,
ETH-0013,240,False,0,0.45,0.47,0.7125,3.18,76.8,0.46,-0.55,0,33.1,-52.7,1.4769,22,2,,0,
ETH-0014,240,False,1,0.47,0.45,0.1996,0.71,3.2,0.45,-0.48,0,30.3,-11.6,0.1505,16,5,,0,
ETH-0015,240,False,4,0.48,0.41,0.5601,1.08,86.3,1.71,0.67,0,62.3,-10.8,1.2171,16,0,,0,
ETH-0016,240,False,2,0.5,0.44,0.1846,0.71,0.0,0.61,-0.36,-1,82.1,29.0,0.4725,4,6,,0,
ETH-0017,240,False,0,0.38,0.53,1.2282,11.24,100.0,1.69,0.64,1,3.0,-48.3,0.703,19,1,,0,
ETH-0018,240,False,1,0.45,0.48,0.4765,2.35,58.9,0.42,-0.57,1,39.9,-15.7,0.0805,6,3,,0,
ETH-0019,240,False,1,0.42,0.49,0.8496,3.36,31.6,1.28,0.28,1,28.3,-17.4,-2.123,15,3,,0,
ETH-0020,240,False,3,0.45,0.44,0.3918,0.98,4.2,0.49,-0.51,0,68.4,30.6,0.6345,11,1,,0,
ETH-0021,240,False,0,0.47,0.47,0.575,3.98,74.7,1.53,0.48,0,10.9,-34.3,-0.3509,13,6,,0,
ETH-0022,240,False,0,0.47,0.42,0.4327,1.7,2.1,1.53,0.38,1,65.6,8.5,-0.5644,14,6,,0,
ETH-0023,240,False,0,0.47,0.45,0.3989,1.35,58.9,1.02,0.03,1,45.8,12.7,1.0007,19,5,,0,
ETH-0024,240,False,0,0.43,0.47,0.3419,1.18,69.5,7.76,4.69,1,62.2,6.4,-0.1848,9,0,,0,
ETH-0025,240,False,0,0.51,0.38,0.3674,1.04,44.2,0.3,-0.63,-1,52.2,-22.1,-0.3459,10,3,,0,
ETH-0026,240,False,1,0.45,0.48,0.2653,0.8,7.4,1.84,0.65,1,36.4,-9.7,-0.5427,14,6,,0,
ETH-0027,240,False,1,0.46,0.42,0.2075,0.43,0.0,0.28,-0.6,-1,48.1,6.1,0.0442,9,2,,0,
ETH-0028,240,False,2,0.44,0.46,0.4246,1.63,60.0,1.58,0.32,1,35.2,-19.2,0.4974,12,6,,0,
ETH-0029,240,False,0,0.42,0.49,0.3633,0.75,2.1,0.44,-0.42,0,58.5,12.9,-0.6451,1,3,,0,
ETH-0030,240,False,3,0.43,0.4,0.0883,0.41,12.6,0.6,-0.35,-1,63.7,27.3,0.0562,11,3,,0,
ETH-0031,240,False,2,0.45,0.43,0.2939,1.36,91.6,7.33,6.38,0,85.1,34.1,2.3137,14,1,,0,
ETH-0032,240,False,1,0.51,0.42,0.5239,1.49,100.0,2.89,1.31,0,57.0,-19.2,0.5939,16,0,,0,
ETH-0033,240,False,0,0.5,0.45,0.2118,0.71,51.6,0.89,-0.09,0,63.2,-5.1,0.1342,18,6,,0,
ETH-0034,240,False,2,0.44,0.47,0.1305,0.41,0.0,1.45,0.42,1,42.1,13.5,0.018,14,5,,0,
ETH-0035,240,False,3,0.42,0.45,0.6611,4.07,97.9,1.45,0.29,1,40.7,-3.6,0.6845,22,6,,0,
ETH-0036,240,False,1,0.47,0.46,0.2602,0.89,0.0,0.37,-0.76,-1,40.5,-9.3,-0.1845,9,2,,0,
ETH-0037,240,False,1,0.37,0.46,1.4264,4.26,93.7,1.74,0.61,1,38.4,-5.6,-2.6989,3,0,,0,
ETH-0038,240,False,0,0.38,0.45,0.8213,4.16,64.2,0.44,-0.48,1,75.0,33.6,0.2156,12,0,,0,
ETH-0039,240,False,3,0.36,0.52,1.4074,5.47,69.5,4.29,3.71,1,23.0,-31.1,-3.8837,15,3,,0,
ETH-0040,240,False,6,0.46,0.44,1.1061,4.13,81.1,0.57,-0.18,-1,70.5,6.2,-0.312,17,0,,0,
ETH-0041,240,False,1,0.44,0.45,0.7152,1.97,63.2,1.19,0.15,1,32.1,-11.6,-1.0567,15,3,,0,
